Basic Results

Total entries = 13259515
Total unique entries = 13259433

Top 100 passwords
@bigmir.net = 3 (0.0%)
@gmail.com = 3 (0.0%)
@mail.ru = 3 (0.0%)
@126.com = 2 (0.0%)
@321.ru = 2 (0.0%)
@aapt.net.au = 2 (0.0%)
@advextreme.com = 2 (0.0%)
@afisha.biz.ua = 2 (0.0%)
@alessandrocipriano.com = 2 (0.0%)
@anitadarkvideos.net = 2 (0.0%)
@aol.com = 2 (0.0%)
@asewrggerrra.ce.ms = 2 (0.0%)
@astramost.ruv = 2 (0.0%)
@avoe.ge = 2 (0.0%)
@bankruptcycity.com = 2 (0.0%)
@basertreywu.cz.cc = 2 (0.0%)
@bellsouth.net = 2 (0.0%)
@bigpond.com = 2 (0.0%)
@blog4us.eu = 2 (0.0%)
@btinternet.com = 2 (0.0%)
@businessinfoservicess.com = 2 (0.0%)
@ca-events.com = 2 (0.0%)
@campokotoks.com = 2 (0.0%)
@caoh.org = 2 (0.0%)
@capita.co.uk = 2 (0.0%)
@ceoll.com = 2 (0.0%)
@chattem.com = 2 (0.0%)
@ckatalog.pl = 2 (0.0%)
@comcast.net = 2 (0.0%)
@comtv.ru = 2 (0.0%)
@cox.net = 2 (0.0%)
@css-examples.com = 2 (0.0%)
@daolemi.com = 2 (0.0%)
@donapex.net = 2 (0.0%)
@earthlink.net = 2 (0.0%)
@europe.com = 2 (0.0%)
@example.com = 2 (0.0%)
@extremebacklinks.info = 2 (0.0%)
@fast-prototypes.com = 2 (0.0%)
@fbcsw.org = 2 (0.0%)
@fgfstore.info = 2 (0.0%)
@filecash.name = 2 (0.0%)
@freenet.de = 2 (0.0%)
@futuramarketing.we.bs = 2 (0.0%)
@futuraseoservices.com = 2 (0.0%)
@gawab.com = 2 (0.0%)
@glasgow-ky.com = 2 (0.0%)
@gmx.com = 2 (0.0%)
@gmx.de = 2 (0.0%)
@go.com = 2 (0.0%)
@gofree.indigo.ie = 2 (0.0%)
@googlemail.com = 2 (0.0%)
@hanmail.net = 2 (0.0%)
@hitv.ru = 2 (0.0%)
@holclinic.com = 2 (0.0%)
@homeopath4life.com = 2 (0.0%)
@hotmail.com = 2 (0.0%)
@hotmail.co.uk = 2 (0.0%)
@hotmail.de = 2 (0.0%)
@inbox.ru = 2 (0.0%)
@internetallure.com = 2 (0.0%)
@i.ua = 2 (0.0%)
@jaanv.com = 2 (0.0%)
@johndan.com = 2 (0.0%)
@jokechain.com = 2 (0.0%)
@jonadamsmusic.com = 2 (0.0%)
@judaicapress.com = 2 (0.0%)
@kelwen.com = 2 (0.0%)
@kmlnet.com = 2 (0.0%)
@labs.wyeth.com = 2 (0.0%)
@liblink.co.za = 2 (0.0%)
@linklaters.com = 2 (0.0%)
@live.com = 2 (0.0%)
@live.fr = 2 (0.0%)
@mail.com = 2 (0.0%)
@masterlink.ru = 2 (0.0%)
@megape.in = 2 (0.0%)
@meta.ua = 2 (0.0%)
@yandex.ru = 2 (0.0%)
@ = 1 (0.0%)
@ = 1 (0.0%)
@	* = 1 (0.0%)
@! = 1 (0.0%)
@!! = 1 (0.0%)
@!!! = 1 (0.0%)
@!!!!!! = 1 (0.0%)
@!!!!!!!!!!!!!!!!!!! = 1 (0.0%)
@!!!!.!!! = 1 (0.0%)
@!!# = 1 (0.0%)
@!!#% = 1 (0.0%)
@!# = 1 (0.0%)
@!#! = 1 (0.0%)
@!% = 1 (0.0%)
@!& = 1 (0.0%)
@!( = 1 (0.0%)
@!((! = 1 (0.0%)
@!() = 1 (0.0%)
@!)(* = 1 (0.0%)
@!* = 1 (0.0%)
@!,./ = 1 (0.0%)

Top 100 base words
hotmail.com = 25395 (0.19%)
gmail.com = 24436 (0.18%)
mail.ru = 17085 (0.13%)
qq.com = 9261 (0.07%)
yahoo.com = 9052 (0.07%)
aol.com = 3395 (0.03%)
yandex.ru = 3016 (0.02%)
com.cn = 2590 (0.02%)
rambler.ru = 2494 (0.02%)
live.com = 2063 (0.02%)
bk.ru = 1693 (0.01%)
myspace.com = 1553 (0.01%)
sbcglobal.net = 1504 (0.01%)
comcast.net = 1444 (0.01%)
msn.com = 1424 (0.01%)
hotmail.fr = 1321 (0.01%)
mail.com = 1292 (0.01%)
sina.com = 1195 (0.01%)
ukr.net = 1067 (0.01%)
list.ru = 963 (0.01%)
inbox.ru = 950 (0.01%)
cn.com = 915 (0.01%)
co.uk = 906 (0.01%)
k.mail.ru = 878 (0.01%)
bellsouth.net = 839 (0.01%)
interia.pl = 834 (0.01%)
wp.pl = 778 (0.01%)
hotmail.co.uk = 764 (0.01%)
att.net = 726 (0.01%)
hotmail.es = 698 (0.01%)
gmx.de = 661 (0.0%)
abv.bg = 651 (0.0%)
bigmir.net = 649 (0.0%)
email.com = 644 (0.0%)
hotmail.it = 641 (0.0%)
live.fr = 636 (0.0%)
yahoo = 614 (0.0%)
com.ua = 608 (0.0%)
yhoo.com = 601 (0.0%)
aim.com = 594 (0.0%)
yahoo.com.cn = 559 (0.0%)
meta.ua = 558 (0.0%)
hotmail = 554 (0.0%)
cox.net = 530 (0.0%)
gmail.ru = 520 (0.0%)
hotmail.de = 509 (0.0%)
sohu.com = 498 (0.0%)
email.ru = 496 (0.0%)
e-mail.ru = 489 (0.0%)
verizon.net = 481 (0.0%)
yhaoo.com = 474 (0.0%)
mail = 460 (0.0%)
google.com = 455 (0.0%)
charter.net = 452 (0.0%)
vkontakte.ru = 439 (0.0%)
yahoo.cn = 439 (0.0%)
pp.com = 437 (0.0%)
ymail.com = 433 (0.0%)
foxmail.com = 433 (0.0%)
ya.ru = 422 (0.0%)
comcast.com = 418 (0.0%)
a.com = 416 (0.0%)
l.com = 415 (0.0%)
mail.ua = 413 (0.0%)
orange.fr = 409 (0.0%)
meil.ru = 403 (0.0%)
libero.it = 400 (0.0%)
tom.com = 383 (0.0%)
earthlink.net = 378 (0.0%)
live.it = 376 (0.0%)
q.com = 364 (0.0%)
btinternet.com = 356 (0.0%)
com.my = 346 (0.0%)
gmail = 326 (0.0%)
yahoo.net = 325 (0.0%)
